Frame, Frame Full, Scene, UI
300, 0.016644, 0.001496, 9.4e-05
301, 0.01668, 0.001498, 9e-05
302, 0.016454, 0.001567, 0.000101
303, 0.016654, 0.001506, 9.1e-05
304, 0.016586, 0.001507, 0.0001
305, 0.016613, 0.00152, 9.3e-05
306, 0.016533, 0.001634, 9.3e-05
307, 0.016633, 0.001577, 9e-05
308, 0.016788, 0.001503, 9.3e-05
309, 0.016579, 0.001712, 9.4e-05
310, 0.016799, 0.001712, 9.5e-05
311, 0.016537, 0.001611, 0.000108
312, 0.016454, 0.00157, 9.7e-05
313, 0.016374, 0.001485, 0.0001
314, 0.016716, 0.001505, 9.5e-05
315, 0.016574, 0.001505, 9e-05
316, 0.016774, 0.001504, 9.2e-05
317, 0.016685, 0.001504, 9.1e-05
318, 0.016677, 0.001547, 0.00011
319, 0.016521, 0.001504, 9.3e-05
320, 0.016646, 0.001503, 9.5e-05
321, 0.01669, 0.001517, 9.2e-05
322, 0.016662, 0.0015, 9.1e-05
323, 0.016811, 0.001504, 8.9e-05
324, 0.016472, 0.00151, 9.4e-05
325, 0.016498, 0.001502, 9.2e-05
326, 0.016637, 0.001514, 9.3e-05
327, 0.016617, 0.001511, 9.3e-05
328, 0.016734, 0.001509, 9.8e-05
329, 0.016716, 0.001505, 9e-05
330, 0.016555, 0.001546, 9.5e-05
331, 0.016572, 0.001495, 9.4e-05
332, 0.016803, 0.001498, 9.2e-05
333, 0.016705, 0.001505, 9e-05
334, 0.01655, 0.001499, 9.1e-05
335, 0.016741, 0.001506, 0.000101
336, 0.016701, 0.001503, 9.1e-05
337, 0.016486, 0.001507, 9.3e-05
338, 0.016592, 0.001507, 9.2e-05
339, 0.01661, 0.001527, 9.2e-05
340, 0.016948, 0.001511, 9.3e-05
341, 0.016316, 0.001503, 9.4e-05
342, 0.01663, 0.001502, 9.3e-05
343, 0.017004, 0.001569, 9e-05
344, 0.016296, 0.001502, 9.4e-05
345, 0.016986, 0.0015, 9.2e-05
346, 0.016498, 0.001727, 0.000102
